Iteration,Current_Best_R,u_surf
102,0.2065,0.077472
103,0.2065,0.077472
104,0.2065,0.077472
105,0.2065,0.077472
106,0.2065,0.077472
107,0.2065,0.077472
108,0.2065,0.077472
109,0.2065,0.077472
110,0.2065,0.077472
111,0.2065,0.077472
112,0.2065,0.077472
113,0.2065,0.077472
114,0.1998,0.081378
115,0.1998,0.081378
116,0.1814,0.081378
117,0.1814,0.081378
118,0.1814,0.081378
119,0.1814,0.081378
120,0.1814,0.081378
121,0.1814,0.081378
122,0.1814,0.081378
123,0.1814,0.081378
124,0.1814,0.081378
125,0.1814,0.081378
126,0.1814,0.081378
127,0.1814,0.081378
128,0.1814,0.081378
129,0.1814,0.081378
130,0.1814,0.081378
131,0.1814,0.081378
132,0.1814,0.081378
133,0.1814,0.081378
134,0.1814,0.081378
135,0.1814,0.081378
136,0.1814,0.081378
137,0.1814,0.081378
138,0.1814,0.081378
139,0.1814,0.081378
140,0.1814,0.081378
141,0.1814,0.081378
142,0.1814,0.081378
143,0.1814,0.081378
144,0.1814,0.081378
145,0.1814,0.081378
146,0.1527,0.085286
147,0.1527,0.085286
148,0.1527,0.085286
149,0.1527,0.085286
150,0.1527,0.085286
151,0.1527,0.085286
152,0.1527,0.085286
153,0.1527,0.085286
154,0.1527,0.085286
155,0.1527,0.085286
156,0.1527,0.085286
157,0.1527,0.085286
158,0.1527,0.085286
159,0.1527,0.085286
160,0.1527,0.085286
161,0.1527,0.085286
162,0.1527,0.085286
163,0.1527,0.085286
164,0.1527,0.085286
165,0.1527,0.085286
166,0.1527,0.085286
167,0.1527,0.085286
168,0.1527,0.085286
169,0.1527,0.085286
170,0.1527,0.085286
171,0.1527,0.085286
172,0.1527,0.085286
173,0.1527,0.085286
174,0.1527,0.085286
175,0.1527,0.085286
176,0.1527,0.085286
177,0.1527,0.085286
178,0.1527,0.085286
179,0.1501,0.085824
180,0.1468,0.086624
181,0.1468,0.086624
182,0.1468,0.086624
183,0.1468,0.086624
184,0.1443,0.087377
185,0.1443,0.087377
186,0.1443,0.087377
187,0.1443,0.087377
188,0.1443,0.087377
189,0.1443,0.087377
190,0.1443,0.087377
191,0.1443,0.087377
192,0.1443,0.087377
193,0.1443,0.087377
194,0.1402,0.089467
195,0.1402,0.089467
196,0.1402,0.089467
197,0.1402,0.089467
198,0.14,0.089467
199,0.14,0.089467
200,0.14,0.089467
201,0.14,0.089467
202,0.14,0.089467
203,0.14,0.089467
204,0.14,0.089467
205,0.14,0.089467
206,0.14,0.089467
207,0.14,0.089467
208,0.14,0.089467
209,0.14,0.089467
210,0.1312,0.091558
211,0.1312,0.091558
212,0.1312,0.091558
213,0.1312,0.091558
214,0.1312,0.091558
215,0.1312,0.091558
216,0.1312,0.091558
217,0.1312,0.091558
218,0.1312,0.091558
219,0.1312,0.091558
220,0.1312,0.091558
221,0.1312,0.091558
222,0.1312,0.091558
223,0.1312,0.091558
224,0.1312,0.091558
225,0.1312,0.091558
226,0.1312,0.091558
227,0.1312,0.091558
228,0.1312,0.091558
229,0.1312,0.091558
230,0.1312,0.091558
231,0.1312,0.091558
232,0.1312,0.091558
233,0.1312,0.091558
234,0.1312,0.091558
235,0.1312,0.091558
236,0.1312,0.091558
237,0.1312,0.091558
238,0.1312,0.091558
239,0.1312,0.091558
240,0.1312,0.091558
241,0.1312,0.091558
242,0.1304,0.09047
243,0.1296,0.091683
244,0.1296,0.091683
245,0.1296,0.091683
246,0.1283,0.093486
247,0.1283,0.093486
248,0.1283,0.093486
249,0.1283,0.093486
250,0.1283,0.093486
251,0.1283,0.093486
252,0.1283,0.093486
253,0.1283,0.093486
254,0.1283,0.093486
255,0.1283,0.093486
256,0.1283,0.093486
257,0.1283,0.093486
258,0.1283,0.093486
259,0.1283,0.093486
260,0.1283,0.093486
261,0.1283,0.093486
262,0.1283,0.093486
263,0.1221,0.091395
264,0.1221,0.091395
265,0.1221,0.091395
266,0.1221,0.091395
267,0.1221,0.091395
268,0.1221,0.091395
269,0.1221,0.091395
270,0.1221,0.091395
271,0.1221,0.091395
272,0.1221,0.091395
273,0.1221,0.091395
274,0.1221,0.091395
275,0.1221,0.091395
276,0.1221,0.091395
277,0.1221,0.091395
278,0.1221,0.091395
279,0.1216,0.089305
280,0.1216,0.089305
281,0.1216,0.089305
282,0.1216,0.089305
283,0.1216,0.089305
284,0.1216,0.089305
285,0.1216,0.089305
286,0.1216,0.089305
287,0.1216,0.089305
288,0.1216,0.089305
289,0.1216,0.089305
290,0.1216,0.089305
291,0.1216,0.089305
292,0.1216,0.089305
293,0.1203,0.097666
294,0.1203,0.097666
295,0.1203,0.097666
296,0.1203,0.097666
297,0.1203,0.097666
298,0.1203,0.097666
299,0.1203,0.097666
300,0.1203,0.097666
301,0.1203,0.097666
302,0.1203,0.097666
303,0.1203,0.097666
304,0.1203,0.097666
305,0.1203,0.097666
306,0.1203,0.097666
307,0.1203,0.097666
308,0.1203,0.097666
309,0.1203,0.097666
310,0.1203,0.097666
311,0.1203,0.097666
312,0.1203,0.097666
313,0.1203,0.097666
314,0.1203,0.097666
315,0.1203,0.097666
316,0.1203,0.097666
317,0.1203,0.097666
318,0.1203,0.097666
319,0.1203,0.097666
320,0.1203,0.097666
321,0.1203,0.097666
322,0.1203,0.097666
323,0.1203,0.097666
324,0.1203,0.097666
325,0.1203,0.097666
326,0.1203,0.097666
327,0.1203,0.097666
328,0.1203,0.097666
329,0.1203,0.097666
330,0.1203,0.097666
331,0.1203,0.097666
332,0.1203,0.097666
333,0.1203,0.097666
334,0.1203,0.097666
335,0.1203,0.097666
336,0.1203,0.097666
337,0.1203,0.097666
338,0.1203,0.097666
339,0.1203,0.097666
340,0.1203,0.097666
341,0.1203,0.097666
342,0.1203,0.097666
343,0.1203,0.097666
344,0.1203,0.097666
345,0.1203,0.097666
346,0.1203,0.097666
347,0.1203,0.097666
348,0.1203,0.097666
349,0.1203,0.097666
350,0.1203,0.097666
351,0.1203,0.097666
352,0.1203,0.097666
353,0.1203,0.097666
354,0.1203,0.097666
355,0.1203,0.097666
356,0.1152,0.097744
357,0.1152,0.097744
358,0.1152,0.097744
359,0.1152,0.097744
360,0.1152,0.097744
361,0.1152,0.097744
362,0.1152,0.097744
363,0.1152,0.097744
364,0.1152,0.097744
365,0.1152,0.097744
366,0.1152,0.097744
367,0.1152,0.097744
368,0.1152,0.097744
369,0.1152,0.097744
370,0.1152,0.097744
371,0.1152,0.097744
372,0.1135,0.097719
373,0.1135,0.097719
374,0.1135,0.097719
375,0.1113,0.09771
376,0.1113,0.09771
377,0.1113,0.09771
378,0.1113,0.09771
379,0.1113,0.09771
380,0.1113,0.09771
381,0.1113,0.09771
382,0.1113,0.09771
383,0.1113,0.09771
384,0.1113,0.09771
385,0.1113,0.09771
386,0.1113,0.09771
387,0.1113,0.09771
388,0.1113,0.09771
389,0.1113,0.09771
390,0.1113,0.09771
391,0.1113,0.09771
392,0.1113,0.09771
393,0.1113,0.09771
394,0.1113,0.09771
395,0.1113,0.09771
396,0.1113,0.09771
397,0.1113,0.09771
398,0.1113,0.09771
399,0.1113,0.09771
400,0.1113,0.09771
401,0.1113,0.09771
402,0.1113,0.09771
403,0.1031,0.097712
404,0.1031,0.097712
405,0.1031,0.097712
406,0.1031,0.097712
407,0.1031,0.097712
408,0.1031,0.097712
409,0.1031,0.097712
410,0.1031,0.097712
411,0.1031,0.097712
412,0.1031,0.097712
413,0.1031,0.097712
414,0.1031,0.097712
415,0.1031,0.097712
416,0.1031,0.097712
417,0.1031,0.097712
418,0.1031,0.097712
419,0.1026,0.097695
420,0.1026,0.097695
421,0.1026,0.097695
422,0.1019,0.097695
423,0.1019,0.097695
424,0.1019,0.097695
425,0.1019,0.097695
426,0.1019,0.097695
427,0.1019,0.097695
428,0.1019,0.097695
429,0.1019,0.097695
430,0.1019,0.097695
431,0.1019,0.097695
432,0.1019,0.097695
433,0.1019,0.097695
434,0.1019,0.097695
435,0.1019,0.097695
436,0.0991,0.097712
437,0.0991,0.097712
438,0.0991,0.097712
439,0.0991,0.097712
440,0.0991,0.097712
441,0.0991,0.097712
442,0.0991,0.097712
443,0.0991,0.097712
444,0.0991,0.097712
445,0.0991,0.097712
446,0.0991,0.097712
447,0.0991,0.097712
448,0.0991,0.097712
449,0.0991,0.097712
450,0.0991,0.097712
451,0.0991,0.097712
452,0.0991,0.097712
453,0.0991,0.097712
454,0.0991,0.097712
455,0.0991,0.097712
456,0.0991,0.097712
457,0.0991,0.097712
458,0.0991,0.097712
459,0.0991,0.097712
460,0.0969,0.097665
461,0.0969,0.097665
462,0.0969,0.097665
463,0.0969,0.097665
464,0.0969,0.097665
465,0.0969,0.097665
466,0.0969,0.097665
467,0.0969,0.097665
468,0.0969,0.097665
469,0.0969,0.097665
470,0.0969,0.097665
471,0.0969,0.097665
472,0.0969,0.097665
473,0.0969,0.097665
474,0.0969,0.097665
475,0.0969,0.097665
476,0.0969,0.097665
477,0.0969,0.097665
478,0.0969,0.097665
479,0.0969,0.097665
480,0.0969,0.097665
481,0.0969,0.097665
482,0.0969,0.097665
483,0.0963,0.097712
484,0.0963,0.097712
485,0.0963,0.097712
486,0.0963,0.097712
487,0.0963,0.097712
488,0.0963,0.097712
489,0.0963,0.097712
490,0.0956,0.097712
491,0.0956,0.097712
492,0.0956,0.097712
493,0.0956,0.097712
494,0.0956,0.097712
495,0.0956,0.097712
496,0.0956,0.097712
497,0.0956,0.097712
498,0.0956,0.097712
499,0.0956,0.097712
500,0.0956,0.097712
501,0.0956,0.097712
502,0.0956,0.097712
503,0.0956,0.097712
504,0.0956,0.097712
505,0.0956,0.097712
506,0.0956,0.097712
507,0.0956,0.097712
508,0.0956,0.097712
509,0.0956,0.097712
510,0.0956,0.097712
511,0.0956,0.097712
512,0.0956,0.097712
513,0.0956,0.097712
514,0.0956,0.097712
515,0.0956,0.097712
516,0.0956,0.097712
517,0.0956,0.097712
518,0.0956,0.097712
519,0.0956,0.097712
520,0.0956,0.097712
521,0.0956,0.097712
522,0.0956,0.097712
523,0.0956,0.097712
524,0.0956,0.097712
525,0.0956,0.097712
526,0.0956,0.097712
527,0.0956,0.097712
528,0.0955,0.097712
529,0.0955,0.097712
530,0.0955,0.097712
531,0.0952,0.097712
532,0.0952,0.097712
533,0.0952,0.097712
534,0.0952,0.097712
535,0.0952,0.097712
536,0.0952,0.097712
537,0.0952,0.097712
538,0.0952,0.097712
539,0.0952,0.097712
540,0.0952,0.097712
541,0.0952,0.097712
542,0.0952,0.097712
543,0.0952,0.097712
544,0.0952,0.097712
545,0.0952,0.097712
546,0.0952,0.097712
547,0.0952,0.097712
548,0.0952,0.097712
549,0.0952,0.097712
550,0.0952,0.097712
551,0.0952,0.097712
552,0.0952,0.097712
553,0.0952,0.097712
554,0.0952,0.097712
555,0.0952,0.097712
556,0.0952,0.097712
557,0.0952,0.097712
558,0.0952,0.097712
559,0.0952,0.097712
560,0.0952,0.097712
561,0.0952,0.097712
562,0.0952,0.097712
563,0.0952,0.097712
564,0.095,0.097717
565,0.095,0.097717
566,0.095,0.097717
567,0.0947,0.097717
568,0.0947,0.097717
569,0.0947,0.097717
570,0.0947,0.097717
571,0.0947,0.097717
572,0.0947,0.097717
573,0.0946,0.097712
574,0.0946,0.097712
575,0.0946,0.097712
576,0.0946,0.097712
577,0.0946,0.097712
578,0.0946,0.097712
579,0.0946,0.097712
580,0.0946,0.097712
581,0.0946,0.097712
582,0.0946,0.097712
583,0.0946,0.097712
584,0.0946,0.097712
585,0.0946,0.097712
586,0.0946,0.097712
587,0.0946,0.097712
588,0.0946,0.097712
589,0.0946,0.097712
590,0.0946,0.097712
591,0.0946,0.097712
592,0.0946,0.097712
593,0.0946,0.097712
