sample_index,current_best_R,current_R
237,0.1708,0.2112
238,0.1708,0.3647
239,0.1708,0.2311
240,0.1708,0.3718
241,0.1708,0.2069
242,0.1708,0.1823
243,0.1708,0.2307
244,0.1708,0.2412
245,0.1708,0.2731
246,0.1708,0.3717
247,0.1708,0.3398
248,0.1708,0.1878
249,0.1708,0.3153
250,0.1708,0.3948
251,0.1708,0.2871
252,0.1708,0.7273
253,0.1708,0.3721
254,0.1708,0.2973
255,0.1708,0.2161
256,0.1708,0.1898
257,0.1708,0.2081
258,0.1708,0.288
259,0.1708,0.2002
260,0.1708,0.3727
261,0.1708,0.2141
262,0.1708,0.245
263,0.1708,0.19
264,0.1708,0.2342
265,0.1708,0.2164
266,0.1708,0.2145
267,0.1708,0.2187
268,0.1708,0.1837
269,0.1708,0.6473
270,0.1708,0.2365
271,0.1708,0.3445
272,0.1708,0.1779
273,0.1708,0.2253
274,0.1708,0.5328
275,0.1708,0.5753
276,0.1708,0.4022
277,0.1708,0.1997
278,0.1679,0.1679
279,0.1679,0.7073
280,0.1679,0.2048
281,0.1679,0.1931
282,0.1679,0.293
283,0.1679,0.2839
284,0.1679,0.6919
285,0.1679,0.2032
286,0.1679,0.2769
287,0.1679,0.3434
288,0.1637,0.1637
289,0.1637,0.1826
290,0.1637,0.3777
291,0.1637,0.2234
292,0.1637,0.4953
293,0.1637,0.537
294,0.1637,0.4192
295,0.1637,0.4374
296,0.1637,0.5145
297,0.1637,0.2091
298,0.1637,0.1844
299,0.1637,0.7609
300,0.1637,0.2883
301,0.1637,0.2728
302,0.1637,0.4095
303,0.1637,0.4819
304,0.1637,0.1652
305,0.1637,0.2519
306,0.1637,0.3938
307,0.1637,0.2846
308,0.1637,0.2144
309,0.1637,0.196
310,0.1637,0.1984
311,0.1637,0.2818
312,0.1637,0.3398
313,0.1637,0.2301
314,0.1637,0.2341
315,0.1637,0.2979
316,0.1637,0.4485
317,0.1637,0.206
318,0.1637,0.199
319,0.1637,0.1659
320,0.1637,0.3506
321,0.1637,0.1932
322,0.1637,0.1765
323,0.1519,0.1519
324,0.1519,0.1814
325,0.1519,0.2827
326,0.1519,0.4066
327,0.1519,0.4205
328,0.1519,0.1655
329,0.1519,0.1876
330,0.1519,0.6627
331,0.1519,0.1709
332,0.1519,0.2679
333,0.1519,0.2402
334,0.1519,0.1777
335,0.1519,0.4218
336,0.1519,0.3866
337,0.1519,0.2357
338,0.1519,0.271
339,0.1519,0.717
340,0.1519,0.2244
341,0.1519,0.3987
342,0.1519,0.1696
343,0.1519,0.1707
344,0.1519,0.1879
345,0.1519,0.2112
346,0.1519,0.1832
347,0.1519,0.2447
348,0.1519,0.7525
349,0.1519,0.506
350,0.1519,0.1876
351,0.1519,0.1682
352,0.1519,0.3363
353,0.1519,0.4279
354,0.1519,0.2184
355,0.1519,0.1884
356,0.1519,0.1858
357,0.1519,0.3009
358,0.1519,0.2104
359,0.1519,0.5077
360,0.1519,0.498
361,0.1519,0.3162
362,0.1519,0.1593
363,0.1519,0.2507
364,0.1519,0.1656
365,0.1519,0.1589
366,0.1519,0.1697
367,0.1519,0.3485
368,0.1519,0.82
369,0.1519,0.1569
370,0.1519,0.1734
371,0.1519,0.3896
372,0.1519,0.2224
373,0.1489,0.1489
374,0.1489,0.2004
375,0.1489,0.2121
376,0.1489,0.3704
377,0.1489,0.1909
378,0.1489,0.4304
379,0.1489,0.4805
380,0.1489,0.2099
381,0.1489,0.16
382,0.1489,0.2104
383,0.1489,0.3736
384,0.1489,0.179
385,0.1489,0.3325
386,0.1489,0.1516
387,0.1489,0.1914
388,0.1489,0.6724
389,0.1489,0.1558
390,0.1489,0.5333
391,0.1489,0.2699
392,0.1489,0.1674
393,0.1489,0.2205
394,0.1489,0.3264
395,0.1489,0.1714
396,0.1489,0.1633
397,0.1489,0.3915
398,0.1489,0.2871
399,0.1489,0.1762
400,0.1489,0.2875
401,0.1489,0.3128
402,0.1489,0.1645
403,0.1489,0.1518
404,0.1489,0.1593
405,0.1489,0.1828
406,0.1489,0.361
407,0.1489,0.5901
408,0.1489,0.1918
409,0.1489,0.1678
410,0.1489,0.2294
411,0.1489,0.518
412,0.1489,0.3668
413,0.1489,0.4079
414,0.1489,0.1661
415,0.1489,0.4501
416,0.1489,0.176
417,0.1489,0.167
418,0.1489,0.3325
419,0.1489,0.2185
420,0.1489,0.1881
421,0.1489,0.1922
422,0.1489,0.304
423,0.1489,0.4012
424,0.1489,0.3805
