sample_index,current_best_R,current_R
234,0.1923,0.2554
235,0.1923,0.2176
236,0.1923,0.7104
237,0.1923,0.2767
238,0.1923,0.685
239,0.1923,0.2597
240,0.1923,0.6107
241,0.1923,0.7103
242,0.1923,0.9441
243,0.1923,0.217
244,0.1923,0.2733
245,0.1923,1000.0
246,0.1923,0.6379
247,0.1923,0.4853
248,0.1923,0.2654
249,0.1923,0.4338
250,0.1923,0.2853
251,0.1923,0.1944
252,0.1923,0.3762
253,0.1923,0.1987
254,0.1923,0.5634
255,0.1923,0.3655
256,0.1923,0.6724
257,0.1923,1.0064
258,0.1923,1.1496
259,0.1923,0.3544
260,0.1923,0.4006
261,0.1923,0.4236
262,0.1923,0.3751
263,0.1923,0.328
264,0.1923,0.2159
265,0.1923,0.3521
266,0.1923,0.239
267,0.1923,0.6535
268,0.1923,0.2016
269,0.1923,0.2062
270,0.1716,0.1716
271,0.1716,0.351
272,0.1716,0.1751
273,0.1716,0.9876
274,0.1716,0.5646
275,0.1716,0.221
276,0.1716,0.36
277,0.1716,0.4277
278,0.1716,0.3097
279,0.1716,0.207
280,0.1716,0.5424
281,0.1716,0.3834
282,0.1716,0.3913
283,0.1716,0.3786
284,0.1716,0.1749
285,0.1716,0.868
286,0.1716,1000.0
287,0.1716,0.237
288,0.1716,0.9693
289,0.1716,0.3566
290,0.1716,0.205
291,0.1716,0.325
292,0.1716,0.2665
293,0.1716,0.6507
294,0.1716,0.5257
295,0.1716,0.5893
296,0.1716,0.6207
297,0.1716,0.1999
298,0.1716,0.543
299,0.1716,0.2294
300,0.1716,0.275
301,0.1716,0.4284
302,0.1716,0.2467
303,0.1716,0.5317
304,0.1716,0.3672
305,0.1716,0.2685
306,0.1716,0.2811
307,0.1716,0.4386
308,0.1716,0.2868
309,0.1716,0.2145
310,0.1716,0.2125
311,0.1716,0.431
312,0.1716,0.9956
313,0.1716,0.4893
314,0.1716,0.2239
315,0.1716,0.4626
316,0.1716,0.4884
317,0.1716,0.6767
318,0.1716,0.2019
319,0.1716,0.3116
320,0.1716,0.5563
321,0.1716,0.3073
322,0.1716,0.4614
323,0.1716,0.8859
324,0.1716,0.4609
325,0.1716,0.2984
326,0.1716,0.2674
327,0.1716,0.3561
328,0.1716,0.2166
329,0.1716,0.3126
330,0.1716,0.3354
331,0.1716,0.2875
332,0.1716,1.0097
333,0.1716,0.2035
334,0.1716,0.2048
335,0.1716,1000.0
336,0.1716,0.2873
337,0.1716,0.3778
338,0.1716,0.2096
339,0.1716,0.2688
340,0.1716,0.3123
341,0.1716,0.3078
342,0.1716,0.9521
343,0.1716,0.1931
344,0.1716,0.2457
345,0.1716,0.3642
346,0.1716,0.4909
347,0.1716,0.3398
348,0.1716,0.3708
349,0.1716,0.1899
350,0.1716,0.4364
351,0.1716,0.2493
352,0.1716,0.2611
353,0.1716,0.6283
354,0.1716,0.8504
355,0.1716,0.3915
356,0.1716,0.5226
357,0.1716,0.8907
358,0.1716,0.3056
359,0.1716,0.4284
360,0.1716,0.6655
361,0.1716,0.3582
362,0.1716,0.2873
363,0.1716,0.3662
364,0.1716,0.3224
365,0.1716,0.1892
366,0.1716,0.2346
367,0.1716,0.2818
368,0.1716,0.2994
369,0.1716,0.3019
370,0.1716,0.4591
371,0.1716,0.2047
372,0.1716,0.3621
373,0.1716,0.8539
374,0.1716,0.6021
375,0.1716,0.6125
376,0.1716,0.2898
377,0.1716,0.4363
378,0.1716,0.3121
379,0.1716,0.3863
380,0.1716,0.2168
381,0.1716,0.9309
382,0.1716,0.3305
383,0.1716,0.2695
384,0.1716,0.2477
385,0.1716,0.2532
386,0.1716,0.2164
387,0.1716,0.6185
388,0.1716,0.3328
389,0.1716,0.2521
390,0.1716,0.3143
391,0.1716,0.2988
392,0.1716,0.83
393,0.1716,0.2364
394,0.1716,0.9044
395,0.1716,0.2215
396,0.1716,0.637
397,0.1716,0.8432
398,0.1716,0.587
399,0.1716,0.9134
400,0.1716,0.2305
401,0.1716,0.7679
402,0.1716,0.8102
403,0.1716,0.2241
404,0.1716,1.0438
405,0.1716,0.5812
406,0.1716,0.2508
407,0.1716,0.1983
408,0.1716,1000.0
409,0.1716,0.4534
410,0.1716,0.2253
411,0.1716,0.3908
412,0.1716,0.3592
413,0.1716,0.2088
414,0.1716,0.177
415,0.1716,0.2046
416,0.1716,0.8931
417,0.1716,0.6624
418,0.1716,0.4198
419,0.1716,0.3027
420,0.1716,0.3552
421,0.1716,0.842
422,0.1716,0.4211
423,0.1716,0.3536
424,0.1716,0.172
425,0.1716,0.6078
426,0.1716,0.2998
427,0.1716,0.4737
428,0.1716,0.3412
429,0.1716,0.3302
430,0.1716,0.8271
431,0.1716,0.2733
432,0.1716,0.4398
433,0.1716,0.5206
434,0.1716,0.3144
435,0.1716,0.1853
436,0.1716,0.3354
437,0.1716,0.174
438,0.1716,0.1872
439,0.1716,0.2636
440,0.1716,0.4824
441,0.1716,0.2615
442,0.1716,0.2287
443,0.1716,0.2411
444,0.1716,0.1786
445,0.1716,0.5358
446,0.1716,1.0027
447,0.1716,0.2385
448,0.1716,0.5494
449,0.1716,0.2048
450,0.1716,0.1726
451,0.1716,0.6816
452,0.1716,0.764
453,0.1716,0.4498
454,0.1716,0.4601
455,0.1716,0.21
456,0.1716,0.2718
457,0.1716,0.246
458,0.1716,0.1951
459,0.1716,0.466
460,0.1716,0.3125
461,0.1716,0.2933
462,0.1716,0.3273
463,0.1716,0.5424
464,0.1716,0.1884
465,0.1716,0.535
466,0.1716,0.5428
467,0.1716,0.3476
468,0.1672,0.1672
469,0.1672,0.2197
470,0.1672,0.3079
471,0.1672,0.2389
472,0.1672,0.2656
473,0.1672,0.1753
474,0.1672,0.3201
475,0.1672,0.3428
476,0.1672,0.2194
477,0.1672,0.188
478,0.1672,0.2522
479,0.1672,0.7611
480,0.1672,0.8324
481,0.1672,0.2856
482,0.1672,0.2373
483,0.1672,0.4386
484,0.1672,0.1837
485,0.1672,0.5491
486,0.1672,0.2435
487,0.1672,0.4187
488,0.1672,0.6493
489,0.1672,0.4219
490,0.1672,0.4103
491,0.1672,0.2699
492,0.1672,0.1831
493,0.1672,0.2891
494,0.1672,0.6441
495,0.1672,0.1869
496,0.1672,0.4091
497,0.1672,0.1804
498,0.1672,0.6264
499,0.1672,0.2711
500,0.1672,0.2748
501,0.1672,0.3038
502,0.1672,0.7333
503,0.1672,0.2483
504,0.1672,0.185
505,0.1672,0.1921
506,0.1585,0.1585
507,0.1585,0.3052
508,0.1585,0.7998
509,0.1585,0.3656
510,0.1585,0.2119
511,0.1514,0.1514
512,0.1514,0.2841
513,0.1514,1000.0
514,0.1514,0.8623
515,0.1514,0.2261
516,0.1514,0.2018
517,0.1514,0.1625
518,0.1514,0.3269
519,0.1514,0.5973
520,0.1514,0.604
521,0.1514,0.1537
522,0.1514,0.5076
523,0.1514,0.208
524,0.1514,0.2454
525,0.1514,0.1599
526,0.1514,0.2905
527,0.1514,0.7006
528,0.1514,0.2372
529,0.1514,0.4587
530,0.1514,0.2131
531,0.1514,0.4006
532,0.1514,0.3503
533,0.1514,1000.0
534,0.1514,0.4353
535,0.1514,0.1516
536,0.1514,0.6248
537,0.1514,0.1539
538,0.1514,0.1711
539,0.1514,0.3896
540,0.1514,0.2291
541,0.1514,0.2328
542,0.1514,0.2334
543,0.1514,0.2773
544,0.1514,0.1519
545,0.1514,0.168
546,0.1514,0.3219
547,0.1514,0.1933
548,0.1514,0.7689
549,0.1514,0.2326
550,0.1514,0.4959
551,0.1514,0.607
552,0.1514,0.1765
553,0.1514,0.2426
554,0.1514,0.2686
555,0.1514,0.2643
556,0.1514,0.2135
557,0.1514,0.1567
558,0.1514,0.2711
559,0.1514,0.9065
560,0.1514,0.2052
561,0.1514,0.2031
562,0.1514,0.2407
563,0.1514,0.1684
564,0.1514,0.5414
565,0.1514,1.0245
566,0.1514,0.174
567,0.1514,0.3293
568,0.1514,0.6648
569,0.1514,0.1589
570,0.1514,0.4555
571,0.1514,0.2495
572,0.1514,0.2901
573,0.1514,0.6631
574,0.1514,0.7771
575,0.1514,0.2469
576,0.1514,0.1784
577,0.1514,0.1899
578,0.1514,0.1836
579,0.1514,0.296
580,0.1514,0.2216
581,0.1514,0.1692
582,0.1514,0.5014
583,0.1514,0.3561
584,0.1514,0.3435
585,0.1514,0.3541
586,0.1514,0.2413
587,0.1514,0.2781
588,0.1514,0.1782
589,0.1514,0.1929
590,0.1514,0.1557
591,0.1514,0.224
592,0.1514,0.2295
593,0.1514,0.1715
594,0.1514,0.2209
595,0.1514,0.2284
596,0.1514,0.2282
597,0.1514,0.7549
598,0.1514,0.714
599,0.1514,0.2598
600,0.1514,0.3443
601,0.1514,0.1602
602,0.1514,0.4211
603,0.1514,0.2097
604,0.1514,0.1835
605,0.1514,0.2645
606,0.1514,0.171
607,0.1514,0.3051
608,0.1514,0.1868
609,0.1514,0.2556
610,0.1514,0.3117
611,0.1514,0.6704
612,0.1514,0.3138
613,0.1514,0.8805
614,0.1514,0.2115
615,0.1514,0.2149
616,0.1514,0.1674
617,0.1514,0.1619
618,0.1514,0.2198
619,0.1514,0.1853
620,0.1514,0.2009
621,0.1514,0.2673
622,0.1514,0.175
623,0.1514,0.5275
624,0.1514,0.1582
625,0.1514,0.2045
626,0.1514,0.589
627,0.1514,0.1721
628,0.1514,0.2191
629,0.1514,0.3472
630,0.1514,0.2061
631,0.1514,0.6579
632,0.1514,0.2874
633,0.1514,0.4245
634,0.1514,0.2141
635,0.1514,0.1723
636,0.1514,0.1527
637,0.1514,0.3115
638,0.1451,0.1451
639,0.1451,0.2096
640,0.1451,0.1519
641,0.1451,0.1638
642,0.1451,0.1979
643,0.1451,0.3038
644,0.1451,0.1624
645,0.1451,0.7996
646,0.1451,0.6196
647,0.1372,0.1372
648,0.1372,0.1933
649,0.1372,0.1857
650,0.1372,0.1933
651,0.1372,0.2997
652,0.1368,0.1368
653,0.1368,1.0413
654,0.1368,0.1846
655,0.1368,0.2071
656,0.1368,0.1794
657,0.1368,0.6666
658,0.1368,0.2376
659,0.1368,0.2152
660,0.1368,0.1642
661,0.1368,0.1768
662,0.1306,0.1306
663,0.1306,0.2037
664,0.1306,0.2504
665,0.1306,0.1319
666,0.1306,0.1434
667,0.1306,1000.0
668,0.1306,0.342
669,0.1306,0.1729
670,0.1306,0.1354
671,0.1306,0.165
672,0.1306,0.3972
673,0.1306,0.1573
674,0.1306,0.2781
675,0.1306,0.2824
676,0.1306,0.3356
677,0.1306,0.4175
678,0.1306,0.1527
679,0.1306,0.2103
680,0.1306,0.1329
681,0.1306,0.1363
682,0.1306,0.216
683,0.1306,0.1404
684,0.1306,0.1631
685,0.1306,0.7515
686,0.116,0.116
687,0.116,0.1414
688,0.1013,0.1013
689,0.1013,0.4094
690,0.1013,0.2769
691,0.0864,0.0864
692,0.0864,0.5028
693,0.0864,0.3915
694,0.0864,0.1059
695,0.0864,1000.0
696,0.0864,0.1135
697,0.0864,0.2427
698,0.0864,0.1722
699,0.0864,0.1067
700,0.0864,0.2905
701,0.0864,0.1014
702,0.0864,0.1175
703,0.0864,1000.0
704,0.0864,1000.0
705,0.0864,0.1001
706,0.0864,0.1639
707,0.0864,0.109
708,0.0864,0.1443
709,0.0864,0.1409
710,0.0864,0.2278
711,0.0864,0.111
712,0.0864,0.3694
713,0.0864,0.5687
714,0.0864,1000.0
715,0.0864,0.1188
716,0.0864,0.103
717,0.0864,1000.0
718,0.0864,0.1657
719,0.0864,0.1057
720,0.0864,0.4769
721,0.0864,1000.0
722,0.0864,0.1471
723,0.0864,0.1192
724,0.0864,0.1009
725,0.0864,0.1774
726,0.0864,0.1707
727,0.0864,0.0875
728,0.0864,0.1078
729,0.0864,0.3478
730,0.0864,1000.0
731,0.0864,1000.0
732,0.0864,1000.0
733,0.0864,0.1081
734,0.0864,0.1088
735,0.0864,0.4233
736,0.0864,0.3439
737,0.0864,0.0944
738,0.0864,1000.0
739,0.0864,0.0969
740,0.0864,1000.0
741,0.0864,0.335
742,0.0864,0.2275
743,0.0864,0.1607
744,0.0864,0.1723
745,0.0864,0.2327
746,0.0864,0.111
747,0.0864,0.1342
748,0.0864,0.1221
749,0.0864,0.1073
750,0.0864,0.2447
751,0.0864,0.1425
752,0.0864,0.1153
753,0.0864,0.17
754,0.0864,0.1499
755,0.0864,0.1379
756,0.0864,0.2774
757,0.0864,0.205
758,0.0864,0.2725
759,0.0864,0.1119
760,0.0864,0.4387
761,0.0864,0.1246
762,0.0864,1000.0
763,0.0864,0.1507
764,0.0864,0.1221
765,0.0864,0.2421
766,0.0864,0.3036
767,0.0864,0.4217
768,0.0864,0.1523
769,0.0864,0.0885
770,0.0864,0.1223
771,0.0864,0.217
772,0.0864,0.1664
773,0.0864,0.1259
774,0.0864,0.1027
775,0.0864,0.3149
776,0.0864,0.0993
777,0.0864,0.0867
778,0.0864,0.1857
779,0.0864,0.1301
780,0.0864,0.1158
781,0.0864,0.5692
782,0.0864,1000.0
783,0.0864,0.1283
784,0.0864,0.0865
785,0.0864,0.3624
786,0.0864,0.1151
787,0.0864,0.2021
788,0.0864,1000.0
789,0.0864,1000.0
790,0.0864,0.098
791,0.084,0.084
792,0.084,0.1664
793,0.084,0.1163
794,0.084,0.1569
795,0.084,1000.0
796,0.084,0.152
797,0.084,0.0958
798,0.084,1000.0
799,0.084,0.4578
800,0.084,1000.0
801,0.084,0.5461
802,0.084,0.2539
803,0.084,0.254
804,0.084,1000.0
805,0.084,0.0847
806,0.084,0.2497
807,0.084,1000.0
808,0.084,0.1307
809,0.084,0.2116
810,0.084,0.1248
811,0.084,0.1353
812,0.084,0.0847
813,0.084,0.088
814,0.084,0.1456
815,0.084,0.1676
816,0.084,0.1454
817,0.084,0.163
818,0.084,0.0878
819,0.084,1000.0
820,0.084,0.1338
821,0.084,0.1975
822,0.084,0.0875
823,0.084,0.0876
824,0.084,0.2389
825,0.084,0.0861
826,0.084,0.1194
827,0.084,0.3591
828,0.084,1000.0
829,0.084,0.1499
830,0.084,0.3417
831,0.084,0.1154
832,0.084,0.2345
833,0.084,0.0945
834,0.084,0.124
835,0.084,1000.0
836,0.084,1000.0
837,0.084,0.2532
838,0.084,0.0966
839,0.084,0.3889
840,0.084,0.1762
841,0.084,0.1218
842,0.084,0.4935
843,0.084,0.1942
844,0.084,0.2948
845,0.084,0.0846
846,0.084,0.0967
847,0.084,0.1194
848,0.084,0.2929
849,0.084,0.2208
850,0.084,0.231
851,0.084,0.2554
852,0.084,0.0901
853,0.0832,0.0832
854,0.0832,0.0939
855,0.0832,1000.0
856,0.0832,0.3762
857,0.0832,0.1031
858,0.0832,0.1303
859,0.0832,0.2628
860,0.0832,1000.0
861,0.0832,1000.0
862,0.0832,0.1187
863,0.0832,0.3822
864,0.0832,0.1533
865,0.0832,0.089
866,0.0832,0.0986
867,0.0832,1000.0
868,0.0832,0.1293
869,0.0832,0.1124
870,0.0832,0.1194
871,0.0832,0.1045
872,0.0832,0.116
873,0.0832,0.2358
874,0.0832,0.1195
875,0.0832,1000.0
876,0.0832,0.1145
877,0.0832,0.1045
878,0.0832,0.1721
879,0.0832,0.1049
880,0.0832,0.1722
881,0.0832,0.1312
882,0.0832,0.1326
883,0.0832,0.3366
884,0.0832,0.4499
885,0.0832,0.0832
886,0.0832,0.1801
887,0.0832,0.2624
888,0.0832,0.0979
889,0.0832,0.1098
890,0.0832,0.1062
891,0.0832,0.0962
892,0.0832,0.1201
893,0.0832,1000.0
894,0.0832,0.2357
895,0.0832,1000.0
896,0.081,0.081
897,0.081,0.0857
898,0.081,0.158
899,0.0783,0.0783
900,0.0783,0.0826
901,0.0783,0.1573
902,0.0783,0.1042
903,0.0783,1000.0
904,0.0783,1000.0
905,0.0783,0.094
906,0.0783,0.1333
907,0.0783,0.1333
908,0.0783,0.0807
909,0.0783,0.206
910,0.0783,0.1222
911,0.0783,0.0948
912,0.0783,1000.0
913,0.0783,0.1573
914,0.0783,1000.0
915,0.0783,0.0927
916,0.0783,0.0823
917,0.0783,0.102
918,0.0783,0.0866
919,0.0783,0.0793
920,0.0783,0.1758
921,0.0783,0.1765
922,0.0783,0.2568
923,0.0783,0.219
924,0.0783,0.0788
925,0.0783,1000.0
926,0.0783,0.0983
927,0.0783,0.081
928,0.0783,0.0808
929,0.0783,0.0838
930,0.0783,0.1638
931,0.0783,0.3151
932,0.0783,0.0975
933,0.0783,0.2202
934,0.0783,0.0899
935,0.0783,0.2786
936,0.0783,0.0803
937,0.0783,0.1031
938,0.0783,0.108
939,0.0783,1000.0
940,0.0783,0.1121
941,0.0783,1000.0
942,0.0783,0.0953
943,0.0783,0.0904
944,0.0783,0.1087
945,0.0783,0.1127
946,0.0783,0.0925
947,0.0783,0.1763
948,0.0783,0.097
949,0.0783,0.1267
950,0.0783,0.0993
951,0.0783,0.2777
952,0.0783,0.2204
953,0.0783,0.2026
954,0.0783,1000.0
955,0.0783,1000.0
956,0.0783,0.1049
957,0.0783,1000.0
958,0.0783,0.1129
959,0.0783,0.1989
960,0.0783,0.1095
961,0.0783,0.1161
962,0.0783,1000.0
963,0.0783,0.1386
964,0.0783,0.0791
965,0.0783,0.0827
966,0.0783,1000.0
967,0.0783,0.0893
968,0.0783,0.107
969,0.0783,0.1
970,0.0783,0.1015
971,0.0783,0.084
972,0.0783,0.0847
973,0.0783,1000.0
974,0.0783,0.1007
975,0.0783,0.0868
976,0.0783,0.0794
977,0.0783,1000.0
978,0.0783,0.0829
979,0.0783,1000.0
980,0.0783,0.091
981,0.0783,1000.0
982,0.0783,0.2172
983,0.0783,0.088
984,0.0783,0.2213
985,0.0783,1000.0
986,0.0783,0.1419
987,0.0783,1000.0
988,0.0783,0.1244
989,0.0783,0.0886
990,0.0783,0.0794
991,0.0783,0.0891
992,0.0783,1000.0
993,0.0783,0.0893
994,0.0783,0.1034
995,0.0783,0.0824
996,0.0783,0.0868
997,0.0783,0.0804
998,0.0783,0.0811
999,0.0783,0.0799
1000,0.0783,0.0792
