R_value,Energy
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1202,-15.346293
0.1153,-15.34111734
0.1153,-15.34111734
0.1153,-15.34111734
0.1153,-15.34111734
0.1153,-15.34111734
0.1153,-15.34111734
0.1153,-15.34111734
0.1153,-15.34111734
0.1153,-15.34111734
0.1153,-15.34111734
0.1153,-15.34111734
0.1153,-15.34111734
0.1153,-15.34111734
0.1153,-15.34111734
0.1153,-15.34111734
0.1153,-15.34111734
0.1135,-15.33956789
0.1135,-15.33956789
0.1135,-15.33956789
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1115,-15.33820759
0.1034,-15.33856003
0.1034,-15.33856003
0.1034,-15.33856003
0.1034,-15.33856003
0.1034,-15.33856003
0.1034,-15.33856003
0.1034,-15.33856003
0.1034,-15.33856003
0.1034,-15.33856003
0.1034,-15.33856003
0.1034,-15.33856003
0.1034,-15.33856003
0.1034,-15.33856003
0.1034,-15.33856003
0.1034,-15.33856003
0.1034,-15.33856003
0.1026,-15.33932003
0.1026,-15.33932003
0.1026,-15.33932003
0.1017,-15.33896382
0.1017,-15.33896382
0.1017,-15.33896382
0.1017,-15.33896382
0.1017,-15.33896382
0.1017,-15.33896382
0.1017,-15.33896382
0.1017,-15.33896382
0.1017,-15.33896382
0.1017,-15.33896382
0.1017,-15.33896382
0.1017,-15.33896382
0.1017,-15.33896382
0.1017,-15.33896382
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0991,-15.33969661
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0969,-15.34051025
0.0978,-15.34382883
0.0969,-15.3437588
0.0969,-15.3437588
0.0969,-15.3437588
0.0969,-15.3437588
0.0969,-15.3437588
0.0969,-15.3437588
0.0969,-15.3437588
0.0968,-15.34389776
0.0968,-15.34389776
0.0968,-15.34389776
0.0968,-15.34389776
0.0968,-15.34389776
0.0968,-15.34389776
0.0968,-15.34389776
0.0968,-15.34389776
0.0968,-15.34389776
0.0968,-15.34389776
0.0968,-15.34389776
0.0968,-15.34389776
0.0968,-15.34389776
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0971,-15.34383165
0.0955,-15.34095521
0.0955,-15.34095521
0.0955,-15.34095521
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0953,-15.34116
0.0949,-15.34123818
0.0949,-15.34123818
0.0952,-15.34135109
0.0947,-15.34131141
0.0947,-15.34131141
0.0947,-15.34131141
0.0947,-15.34131141
0.0947,-15.34131141
0.0947,-15.34131141
0.0946,-15.34105436
0.0946,-15.34105436
0.0946,-15.34105436
0.0946,-15.34105436
0.0946,-15.34105436
0.0946,-15.34105436
0.0946,-15.34105436
0.0949,-15.34081532
0.0949,-15.34081532
0.0949,-15.34081532
0.0949,-15.34081532
0.0949,-15.34081532
0.0949,-15.34081532
0.0949,-15.34081532
0.0949,-15.34081532
0.0949,-15.34081532
0.0949,-15.34081532
0.0949,-15.34081532
0.0949,-15.34081532
0.0946,-15.34102773
0.0946,-15.34102773
0.2737,-15.30101853
0.2737,-15.30101853
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
0.0868,-15.34383336
